timestamp,person,probability,image_path
2025-09-09 10:50:44,Unauthorized,56.22%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_105044.jpg
2025-09-09 10:50:46,Elon,60.36%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_105046.jpg
2025-09-09 10:50:58,Elon,65.77%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_105058.jpg
2025-09-09 10:50:58,Unauthorized,59.00%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_105058.jpg
2025-09-09 10:51:05,Einstein,63.52%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_105105.jpg
2025-09-09 10:51:11,Unauthorized,56.71%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_105111.jpg
2025-09-09 11:08:55,Unauthorized,51.40%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_110855.jpg
2025-09-09 11:09:00,Elon,76.22%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110900.jpg
2025-09-09 11:09:00,Einstein,60.80%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110900.jpg
2025-09-09 11:09:01,Elon,78.03%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110901.jpg
2025-09-09 11:09:01,Einstein,60.46%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110901.jpg
2025-09-09 11:09:01,Elon,80.21%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110901.jpg
2025-09-09 11:09:01,Unauthorized,57.13%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_110901.jpg
2025-09-09 11:09:01,Elon,77.72%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110901.jpg
2025-09-09 11:09:01,Unauthorized,56.87%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_110901.jpg
2025-09-09 11:09:02,Elon,79.61%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110902.jpg
2025-09-09 11:09:02,Unauthorized,59.12%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_110902.jpg
2025-09-09 11:09:02,Elon,78.05%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110902.jpg
2025-09-09 11:09:02,Unauthorized,57.98%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_110902.jpg
2025-09-09 11:09:02,Elon,77.80%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110902.jpg
2025-09-09 11:09:02,Unauthorized,56.22%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_110902.jpg
2025-09-09 11:09:03,Elon,78.06%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110903.jpg
2025-09-09 11:09:03,Einstein,63.43%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110903.jpg
2025-09-09 11:09:03,Elon,78.42%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110903.jpg
2025-09-09 11:09:03,Unauthorized,57.68%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_110903.jpg
2025-09-09 11:09:03,Elon,77.55%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110903.jpg
2025-09-09 11:09:04,Unauthorized,55.12%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\unauthorizedFaces\unauth_20250909_110904.jpg
2025-09-09 11:09:05,Elon,79.99%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110905.jpg
2025-09-09 11:09:06,Einstein,63.41%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110906.jpg
2025-09-09 11:09:06,Elon,77.76%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110906.jpg
