timestamp,person,probability,image_path
2025-09-09 10:50:46,Elon,60.36%,
2025-09-09 10:50:58,Elon,65.77%,
2025-09-09 10:51:05,Einstein,63.52%,
2025-09-09 11:01:32,Einstein,71.18%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110132.jpg
2025-09-09 11:01:41,Elon,80.19%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110141.jpg
2025-09-09 11:01:44,Einstein,61.76%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110144.jpg
2025-09-09 11:01:44,Elon,79.90%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110144.jpg
2025-09-09 11:09:00,Elon,76.22%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110900.jpg
2025-09-09 11:09:00,Einstein,60.80%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110900.jpg
2025-09-09 11:09:01,Elon,78.03%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110901.jpg
2025-09-09 11:09:01,Einstein,60.46%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110901.jpg
2025-09-09 11:09:01,Elon,80.21%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110901.jpg
2025-09-09 11:09:01,Elon,77.72%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110901.jpg
2025-09-09 11:09:02,Elon,79.61%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110902.jpg
2025-09-09 11:09:02,Elon,78.05%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110902.jpg
2025-09-09 11:09:02,Elon,77.80%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110902.jpg
2025-09-09 11:09:03,Elon,78.06%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110903.jpg
2025-09-09 11:09:03,Einstein,63.43%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110903.jpg
2025-09-09 11:09:03,Elon,78.42%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110903.jpg
2025-09-09 11:09:03,Elon,77.55%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110903.jpg
2025-09-09 11:09:05,Elon,79.99%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110905.jpg
2025-09-09 11:09:06,Einstein,63.41%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110906.jpg
2025-09-09 11:09:06,Elon,77.76%,C:\Users\ocamp\OneDrive\Documents\4CPE\AI Practice\capturedFaces\face_20250909_110906.jpg
